dataset,configuration,target_fpr,seeds,test_fpr_mean,test_fpr_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,average_precision_mean,average_precision_sd
CICIDS2017,rule_only,0.01,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5059,0.0000
CICIDS2017,logistic_regression,0.01,5,0.0103,0.0085,0.9775,0.0167,0.8448,0.0410,0.9056,0.0194,0.9340,0.0313
CICIDS2017,isolation_forest,0.01,5,0.0407,0.0105,0.0464,0.0395,0.0040,0.0032,0.0074,0.0059,0.6401,0.0255
CICIDS2017,lightgbm,0.01,5,0.0628,0.0000,0.8837,0.0000,0.9253,0.0000,0.9041,0.0000,0.9631,0.0000
CICIDS2017,hybrid_logistic_rules,0.01,5,0.0001,0.0002,0.9998,0.0005,0.7465,0.0384,0.8543,0.0253,0.8741,0.0189
UNSW-NB15,rule_only,0.01,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4107,0.0000
UNSW-NB15,logistic_regression,0.01,5,0.0055,0.0001,0.4742,0.2665,0.0270,0.0155,0.0511,0.0294,0.4081,0.0472
UNSW-NB15,isolation_forest,0.01,5,0.0109,0.0005,0.2528,0.0932,0.0167,0.0106,0.0313,0.0192,0.4641,0.0607
UNSW-NB15,lightgbm,0.01,5,0.0103,0.0000,0.9553,0.0000,0.9251,0.0000,0.9399,0.0000,0.9925,0.0000
UNSW-NB15,hybrid_logistic_rules,0.01,5,0.0044,0.0025,0.4739,0.2664,0.0270,0.0155,0.0510,0.0293,0.3947,0.0114

